year,round,weather,weatherWarm,weatherCold,weatherDry,weatherWet,weatherCloudy
2011,2,"Cloudy, dry",0,0,1,0,1
2011,3,Fine and Dry[1] Air Temp 22 °C (72 °F)[1]  Track Temp 32 °C (90 °F) dropping to 26 °C (79 °F)[1],1,0,1,0,0
2011,4,"Sunny, Fine and Dry[2] Air Temp 17 °C (63 °F)[2]  Track Temp 35 °C (95 °F) dropping to 30 °C (86 °F)[2]",1,0,1,0,0
2011,5,"Mainly sunny, Fine and Dry[3][4] Air Temp 27 °C (81 °F)[4]  Track Temp 33 °C (91 °F) to 44 °C (111 °F)[4]",1,0,1,0,0
2011,6,"Sunny, Fine and Dry[2]Air Temp 24 °C (75 °F)[2]Track Temp 44 °C (111 °F)[2]",1,0,1,0,0
2011,7,"Wet at start, very heavy rain later, after rain stops, track drying towards the end. Temperatures up to 27 °C (81 °F); wind speeds up to 12 kilometres per hour (7.5 mph)[2]",0,0,1,1,0
2011,8,"Clear, Fine and Dry[1][2]Air Temp 27 °C (81 °F)[2]Track Temp 47 °C (117 °F)[2]",1,0,1,0,0
2011,9,Wet track at start; subsequently drying.[1]Air Temp 20 °C (68 °F)[1]Track Temp 22 °C (72 °F)[1],0,0,1,1,0
2011,10,"Cloudy, (light) rain at start",0,0,0,1,1
2011,11,"Cloudy, rain showers",0,0,0,1,1
2011,12,"Cloudy, dry",0,0,1,0,1
2011,13,Mainly sunny,1,0,0,0,0
2011,14,Hot and humid  Air Temp 31 °C (88 °F)[1],1,0,0,0,0
2011,15,Sunny and dry  Air Temp 24 °C (75 °F)[3],1,0,1,0,0
2011,16,"Dry, light rain at the start  Air Temp 21 °C (70 °F)[2]",0,0,1,1,0
2011,17,Fine and Dry  Air Temp 30 °C (86 °F)[1],1,0,1,0,0
2011,18,Fine and Dry  Air Temp 25 °C (77 °F)[1],1,0,1,0,0
2011,19,Fine  Air Temp 24 °C (75 °F)  Track Temp 43 °C (109 °F)[1],1,0,0,0,0
2012,1,Fine[1] Air Temp 22 °C (72 °F)[1]  Track Temp 30 °C (86 °F) dropping to 22 °C (72 °F)[1],1,0,0,0,0
2012,2,Heavy rain clearing to cloudy and dry[2] Air Temp 26 °C (79 °F)[2]   Track Temp 29 °C (84 °F) dropping to 24 °C (75 °F) [2],1,0,1,1,1
2012,3,Overcast but Dry[1] Air Temp 22 °C (72 °F)[1]  Track Temp 23 °C (73 °F)[1],0,0,1,0,1
2012,4,Sunny and hot[1][2] Air Temp 27 °C (81 °F)[2]  Track Temp 33 °C (91 °F) dropping to 29 °C (84 °F)[2],1,0,0,0,0
2012,5,"Partially cloudy, dry: Air 23 °C (73 °F), Track 36 °C (97 °F)",0,0,1,0,1
